Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Frankfort, KY",5.1%,6.5%,14.1,17.9%,1.6%,642,5.0%,-,58.9%,39.1%,"$1,085","$1,356",1.66%,165,70.4%,2.0%,16.1%,71,-8.9%,0.6%,"$344,080",11.0%,48,0.0%,-6.5%,"75,661","$72,731",4.3%,22.2%,12.0%,"$229,744",8.3%,60.2%,18.5%,3.1,"$1,488","$59,524",24.5%,0.7%,37.1%,15.4%,-3.2%,30.3%,71.5%,58%,42.3,9.1%,"34,278",0.8%,8.5%,52,62,60.0
"Fredericksburg, TX",4.9%,20.9%,13.9,40.1%,19.8%,372,8.9%,-,80.0%,19.1%,"$2,312","$2,890",0.13%,334,30.7%,65.8%,15.3%,108,-11.2%,3.3%,"$812,225",1.6%,84,31.2%,-9.8%,"27,202","$69,154",3.7%,16.9%,10.8%,"$484,428",-0.0%,45.1%,31.4%,7.0,"$3,249","$129,990",56.3%,1.0%,40.5%,-5.3%,-,35.3%,71.0%,41%,50.5,9.3%,"14,255",1.3%,-,32,-,46.0
"Freeport, IL",4.6%,8.9%,11.6,15.3%,1.8%,-142,-2.6%,-,58.9%,39.4%,$810,"$1,013",0.73%,93,0.5%,-26.8%,14.9%,74,-2.6%,0.6%,"$139,725",10.3%,32,23.0%,-1.0%,"44,042","$63,181",-3.0%,29.4%,10.2%,"$141,707",7.8%,55.8%,28.1%,2.2,"$1,121","$44,846",21.2%,2.4%,38.2%,14.9%,-30.1%,21.7%,71.0%,51%,45.2,12.2%,"21,375",-0.3%,-,57,-,42.0
"Fremont, NE",4.7%,10.2%,13.5,18.1%,4.6%,100,-1.1%,-,65.3%,32.9%,"$1,097","$1,372",0.53%,92,7.0%,38.6%,12.5%,74,-9.5%,0.8%,"$232,450",-6.6%,26,-18.7%,-4.1%,"37,146","$72,719",1.2%,34.4%,3.6%,"$223,877",3.8%,48.0%,21.4%,3.0,"$1,568","$62,751",25.8%,1.3%,42.8%,9.6%,-,21.5%,66.7%,55%,38.9,8.4%,"16,553",0.2%,-,41,-,61.0
"Fresno, CA",5.7%,5.4%,12.9,33.7%,2.0%,"-3,754",4.2%,"3,486",50.9%,46.4%,"$2,041","$2,551",0.26%,"1,516",15.9%,10.6%,19.5%,64,-2.3%,0.6%,"$475,000",4.7%,884,30.3%,-2.5%,"1,017,162","$72,562",2.2%,26.1%,9.2%,"$397,168",3.6%,46.2%,13.1%,5.4,"$2,557","$102,308",42.2%,0.6%,25.3%,3.0%,-52.9%,23.4%,59.1%,64%,34.0,16.6%,"347,917",-0.3%,3.0%,46,70,50.0
"Gadsden, AL",5.8%,16.2%,13.4,18.8%,1.9%,802,-0.1%,144,77.2%,21.7%,$837,"$1,046",0.50%,281,28.0%,-0.2%,20.2%,86,28.0%,0.9%,"$239,900",-3.2%,90,-13.4%,-3.6%,"103,241","$53,235",0.7%,28.4%,3.8%,"$169,026",5.9%,41.3%,22.4%,3.1,"$1,039","$41,565",23.4%,0.3%,24.0%,5.7%,-3.7%,18.0%,74.5%,50%,41.2,19.3%,"47,786",0.7%,-,51,-,45.0
"Gaffney, SC",7.5%,12.3%,10.3,27.1%,0.0%,779,2.3%,-,75.2%,23.9%,"$1,132","$1,415",0.13%,117,13.1%,37.6%,15.0%,70,16.6%,0.7%,"$240,975",-11.9%,30,-28.5%,-9.3%,"56,299","$50,027",-0.7%,35.6%,5.2%,"$176,013",2.0%,22.0%,4.5%,3.5,"$1,095","$43,814",26.2%,0.4%,-3.2%,-4.9%,-,18.4%,73.2%,45%,40.3,17.1%,"24,945",1.3%,-,38,-,52.0
"Gainesville, FL",6.0%,7.8%,12.1,32.6%,3.1%,"3,715",8.3%,"2,157",46.6%,51.9%,"$1,647","$2,059",0.04%,"1,136",22.9%,29.8%,20.3%,84,11.3%,1.2%,"$337,538",-3.5%,364,4.0%,-1.2%,"348,764","$60,475",6.4%,26.6%,12.1%,"$299,052",1.3%,50.8%,17.6%,4.9,"$1,951","$78,040",38.7%,0.7%,18.4%,7.2%,-34.0%,43.3%,60.0%,55%,35.0,17.4%,"159,084",1.0%,3.6%,42,59,42.0
"Gainesville, GA",5.1%,8.1%,14.2,26.9%,3.4%,"3,698",11.8%,"1,400",71.5%,27.7%,"$1,785","$2,231",-0.03%,772,47.3%,16.1%,22.8%,72,19.0%,1.4%,"$491,293",-3.8%,242,17.4%,-4.2%,"217,267","$79,448",7.4%,17.7%,13.6%,"$380,439",2.9%,64.4%,32.1%,4.7,"$2,457","$98,309",37.1%,0.7%,37.6%,7.2%,-33.0%,30.0%,67.2%,59%,38.7,10.2%,"83,214",1.7%,1.8%,46,60,49.0
"Gardnerville Ranchos, NV",3.8%,14.2%,19.0,30.5%,16.2%,170,1.6%,-,65.3%,32.4%,"$2,298","$2,873",0.30%,290,17.1%,22.2%,14.2%,99,1.7%,1.4%,"$847,500",1.0%,80,37.9%,-5.6%,"49,624","$90,432",3.7%,35.3%,12.2%,"$658,020",1.5%,37.6%,18.8%,7.2,"$4,104","$164,197",54.4%,0.4%,78.5%,-7.3%,-46.7%,32.3%,78.4%,59%,53.9,8.1%,"24,599",0.3%,0.7%,45,52,48.0
"Georgetown, SC",5.8%,24.0%,13.1,37.4%,28.3%,"1,551",7.9%,-,59.1%,39.6%,"$1,977","$2,471",-0.09%,-,-,-,-,-,-,-,-,-,-,-,-,"65,731","$63,416",6.6%,30.8%,9.0%,"$389,022",2.8%,58.7%,20.0%,6.1,"$2,429","$97,187",45.9%,0.4%,22.8%,9.9%,-,30.9%,81.7%,49%,51.0,14.9%,"37,812",2.3%,-,-,-,51.0
"Gettysburg, PA",3.5%,5.0%,17.0,18.1%,2.8%,985,3.4%,345,66.1%,32.5%,"$1,183","$1,478",0.48%,144,15.2%,-29.4%,13.5%,55,-29.1%,0.4%,"$399,900",0.0%,74,37.0%,-11.1%,"106,748","$78,259",3.8%,15.5%,9.8%,"$302,115",5.3%,41.8%,16.3%,3.8,"$2,097","$83,891",32.1%,1.2%,77.2%,10.4%,-9.3%,23.8%,78.0%,62%,44.6,8.6%,"44,034",0.9%,5.4%,58,37,52.0
"Gillette, WY",3.8%,13.0%,18.6,15.0%,3.2%,370,-1.2%,-,87.3%,10.7%,"$1,215","$1,518",0.97%,101,19.5%,-35.4%,22.3%,78,-8.4%,0.6%,"$339,500",-16.0%,30,-21.0%,-6.4%,"61,192","$97,158",-1.6%,23.2%,5.3%,"$340,130",9.1%,34.8%,9.9%,3.5,"$2,148","$85,954",26.5%,0.5%,76.8%,17.4%,-,22.2%,78.4%,65%,35.8,8.6%,"27,042",0.5%,8.3%,59,25,46.0
"Glenwood Springs, CO",5.4%,15.4%,14.1,55.3%,17.8%,-121,0.8%,-,42.0%,55.5%,"$4,313","$5,391",0.05%,-,-,-,-,-,-,-,-,-,-,-,-,"79,153","$93,579",3.5%,19.9%,11.6%,"$913,074",5.9%,70.2%,28.8%,9.7,"$5,648","$225,923",72.4%,0.3%,30.9%,10.6%,7.6%,41.9%,68.5%,60%,40.3,6.2%,"37,990",-0.1%,6.3%,-,69,53.0
"Goldsboro, NC",9.1%,12.7%,8.4,28.8%,2.8%,998,-1.0%,607,57.6%,41.3%,"$1,357","$1,697",-0.17%,318,37.6%,30.9%,18.9%,75,15.3%,1.0%,"$289,650",-0.0%,100,6.3%,-6.1%,"118,686","$56,570",-3.7%,26.8%,3.9%,"$172,254",0.4%,40.4%,11.6%,3.0,"$1,106","$44,251",23.4%,0.6%,-18.5%,7.4%,-8.9%,22.3%,59.8%,55%,37.4,16.2%,"53,912",0.8%,3.5%,42,41,37.0
"Grand Forks, ND",3.8%,8.5%,16.8,16.2%,5.0%,-257,0.9%,170,60.3%,37.2%,$988,"$1,235",0.76%,178,-16.8%,-34.3%,8.3%,77,-19.1%,0.6%,"$283,725",-10.2%,46,-39.4%,-13.5%,"103,613","$72,959",1.2%,27.3%,5.4%,"$249,897",4.6%,21.8%,-6.1%,3.4,"$1,689","$67,589",27.7%,1.0%,70.9%,6.0%,-,31.9%,60.3%,56%,33.6,10.8%,"48,736",-0.2%,7.6%,56,42,59.0
"Grand Island, NE",4.7%,5.4%,13.7,19.4%,1.6%,-142,0.9%,341,71.2%,27.0%,"$1,174","$1,468",0.85%,148,29.2%,28.4%,20.6%,82,15.1%,0.7%,"$321,000",-1.2%,38,18.7%,-1.0%,"76,619","$72,337",1.4%,29.3%,4.1%,"$241,993",6.1%,43.7%,21.8%,3.3,"$1,688","$67,524",28.0%,1.3%,43.6%,8.8%,4.8%,20.9%,67.5%,63%,36.8,8.5%,"31,854",-0.1%,-,44,-,58.0
"Grand Junction, CO",4.5%,4.6%,16.7,29.3%,2.9%,"1,473",6.2%,852,60.9%,36.6%,"$1,613","$2,017",0.46%,500,14.8%,3.2%,21.1%,77,4.0%,1.0%,"$478,250",-3.6%,200,20.4%,-8.5%,"159,681","$66,016",4.2%,9.1%,14.6%,"$406,091",4.9%,51.4%,32.3%,6.1,"$2,513","$100,533",45.6%,0.3%,55.7%,7.0%,-22.8%,32.2%,69.4%,64%,41.6,11.5%,"71,412",0.9%,8.3%,49,44,35.0
"Grand Rapids, MI",5.7%,5.1%,12.1,26.2%,3.1%,"1,348",5.1%,"3,869",52.4%,45.8%,"$1,742","$2,177",0.47%,"1,305",31.8%,-8.7%,17.5%,65,8.3%,0.3%,"$374,500",-6.3%,730,19.6%,-13.0%,"1,099,142","$79,538",2.5%,20.9%,12.1%,"$318,726",4.9%,51.0%,31.7%,4.0,"$2,139","$85,595",32.2%,1.0%,22.8%,7.8%,-19.3%,37.6%,74.7%,61%,37.1,9.7%,"443,394",0.1%,4.1%,49,59,52.0
"Grants Pass, OR",4.6%,6.6%,16.0,29.9%,2.8%,667,1.4%,281,62.7%,34.1%,"$1,632","$2,040",-0.01%,308,23.7%,17.3%,19.4%,97,10.5%,1.0%,"$479,900",1.6%,62,-24.3%,-8.2%,"87,821","$65,453",0.4%,37.5%,11.1%,"$392,807",1.0%,33.8%,0.9%,6.0,"$2,469","$98,790",45.2%,0.5%,51.3%,-3.6%,-26.4%,20.7%,73.9%,56%,47.6,13.2%,"39,910",0.7%,-3.5%,43,45,44.0
"Great Falls, MT",4.0%,8.7%,17.0,22.2%,4.8%,-162,2.2%,211,59.3%,37.1%,"$1,255","$1,569",0.96%,128,5.3%,-14.8%,20.6%,103,37.5%,0.4%,"$438,700",14.6%,30,-40.0%,-21.7%,"84,900","$67,783",3.9%,32.3%,8.1%,"$320,648",6.6%,63.2%,19.8%,4.7,"$2,095","$83,834",37.1%,0.8%,66.9%,14.7%,-,30.2%,68.1%,60%,39.1,10.9%,"39,901",-0.1%,7.6%,51,59,52.0
"Greeley, CO",4.1%,4.0%,17.8,23.9%,0.2%,"6,781",19.5%,"4,097",59.1%,38.2%,"$1,852","$2,315",0.13%,969,32.4%,41.9%,21.4%,65,-5.8%,1.0%,"$524,925",0.9%,458,8.0%,-3.5%,"359,442","$92,867",14.3%,18.1%,14.4%,"$497,199",1.4%,33.4%,25.0%,5.3,"$3,129","$125,168",40.4%,0.5%,68.9%,-3.4%,-18.5%,33.7%,74.8%,72%,35.4,8.4%,"134,498",1.8%,4.3%,39,54,58.0
"Green Bay, WI",2.7%,8.3%,20.7,15.3%,7.5%,801,3.8%,"1,089",56.2%,42.2%,$997,"$1,246",0.61%,392,8.7%,-25.7%,10.4%,69,-14.8%,0.3%,"$476,150",11.7%,198,8.7%,-10.6%,"331,367","$77,694",3.1%,19.4%,11.4%,"$310,125",7.5%,57.3%,30.4%,3.9,"$2,134","$85,366",32.9%,1.2%,114.0%,16.9%,-9.1%,30.1%,68.3%,60%,39.9,9.5%,"149,408",0.2%,4.2%,57,37,49.0
"Greensboro, NC",6.5%,7.4%,11.4,27.2%,1.3%,"5,322",3.0%,"4,927",49.1%,49.3%,"$1,467","$1,834",0.25%,"1,342",21.1%,4.4%,22.3%,67,25.2%,0.6%,"$320,000",2.9%,650,-0.9%,-8.3%,"789,842","$64,545",2.8%,24.6%,11.2%,"$252,355",2.9%,52.8%,23.7%,3.9,"$1,633","$65,338",30.3%,0.7%,11.3%,9.1%,-12.2%,32.1%,63.7%,61%,39.0,13.8%,"347,717",0.6%,4.5%,49,62,45.0
"Greenville, NC",6.9%,10.8%,10.7,29.2%,2.4%,"1,055",4.1%,"1,541",46.3%,52.3%,"$1,490","$1,862",0.32%,424,51.4%,36.7%,18.2%,64,5.7%,1.0%,"$293,100",-3.1%,144,-15.2%,-0.8%,"175,119","$61,144",-2.6%,14.5%,11.0%,"$239,923",2.0%,61.5%,16.6%,3.9,"$1,560","$62,428",30.6%,0.7%,4.7%,12.9%,-,34.8%,52.9%,63%,34.1,19.1%,"83,544",0.6%,5.8%,44,52,32.0
"Greenville, SC",6.1%,7.8%,12.5,26.4%,2.1%,"16,216",10.3%,"8,562",65.7%,32.7%,"$1,563","$1,954",0.07%,"2,445",18.4%,5.2%,23.5%,68,8.0%,0.8%,"$361,045",0.7%,"1,176",7.8%,-4.4%,"975,480","$70,801",7.5%,20.7%,11.8%,"$294,552",2.2%,51.8%,22.2%,4.1,"$1,836","$73,451",31.1%,0.4%,17.4%,7.6%,-6.8%,35.0%,70.5%,58%,39.0,12.1%,"430,189",1.6%,4.1%,47,64,54.0
"Greenwood, SC",8.6%,7.1%,9.1,25.2%,5.0%,442,1.2%,-,63.8%,34.8%,"$1,150","$1,437",-0.14%,232,25.1%,23.9%,21.1%,79,-2.4%,0.7%,"$274,000",-7.7%,60,-6.2%,-3.3%,"69,460","$54,700",-1.8%,29.7%,3.9%,"$157,972",2.2%,46.5%,21.5%,2.8,$986,"$39,458",21.6%,0.4%,-14.2%,7.0%,-11.0%,25.7%,69.8%,47%,39.0,14.0%,"31,948",0.6%,-,45,-,41.0
"Gulfport, MS",8.0%,10.1%,9.5,28.2%,3.9%,"1,792",1.4%,"2,963",68.4%,30.4%,"$1,442","$1,803",0.29%,"1,710",15.3%,17.3%,20.8%,88,15.1%,1.3%,"$289,950",0.2%,566,0.3%,-4.3%,"421,573","$61,316",1.5%,21.0%,6.3%,"$206,672",1.8%,40.0%,14.4%,3.3,"$1,323","$52,939",25.9%,0.6%,-8.2%,4.5%,-,26.7%,67.8%,51%,41.2,13.1%,"191,527",0.4%,6.3%,44,66,50.0
"Hagerstown, MD",5.5%,8.6%,13.2,24.0%,2.6%,"4,104",6.5%,"1,844",63.9%,33.7%,"$1,538","$1,922",0.49%,695,32.7%,-7.7%,14.1%,55,5.2%,0.8%,"$344,998",1.9%,352,0.0%,-3.8%,"305,580","$76,876",6.9%,27.9%,9.4%,"$306,883",5.4%,50.6%,13.0%,3.9,"$1,963","$78,558",30.6%,0.6%,27.6%,9.1%,-30.3%,22.6%,71.3%,63%,39.8,10.3%,"128,867",1.3%,6.5%,54,62,55.0
"Hammond, LA",6.4%,11.2%,12.0,24.9%,3.2%,803,9.1%,"1,227",68.0%,30.6%,"$1,152","$1,440",0.77%,358,15.8%,1.7%,23.9%,82,3.1%,0.9%,"$260,850",-1.5%,82,-28.0%,-5.3%,"138,064","$55,505",3.2%,16.0%,6.2%,"$207,533",-1.1%,12.6%,-7.5%,3.7,"$1,288","$51,522",27.8%,0.4%,11.7%,-10.3%,-,22.7%,69.6%,55%,36.8,16.3%,"61,549",0.5%,5.8%,45,48,48.0
"Hanford, CA",5.4%,6.6%,13.4,30.5%,0.8%,"-1,277",1.6%,578,60.4%,37.3%,"$1,724","$2,155",0.38%,209,40.4%,18.4%,22.5%,65,75.6%,0.8%,"$364,945",-0.6%,78,-40.0%,-3.2%,"152,682","$67,757",0.8%,15.9%,5.5%,"$346,764",3.9%,48.2%,23.5%,5.1,"$2,248","$89,953",39.8%,0.7%,30.4%,5.9%,-37.3%,10.4%,54.8%,71%,33.2,14.8%,"47,430",-0.8%,4.4%,46,53,36.0
"Harrisburg, PA",4.8%,5.0%,13.8,20.8%,0.8%,"2,645",3.4%,"2,059",52.1%,46.6%,"$1,360","$1,700",0.43%,708,30.5%,-19.6%,14.7%,56,4.1%,0.4%,"$349,450",11.9%,396,-5.7%,-6.2%,"605,960","$78,293",5.4%,16.7%,17.0%,"$282,192",4.6%,45.5%,17.3%,3.6,"$1,929","$77,194",29.5%,1.1%,41.8%,12.3%,-2.8%,37.0%,68.5%,60%,40.3,9.9%,"261,060",0.4%,4.3%,56,52,55.0
"Harrisonburg, VA",5.8%,10.0%,12.8,25.8%,5.4%,856,3.2%,616,59.3%,38.7%,"$1,676","$2,095",0.30%,151,-22.2%,-20.9%,10.0%,65,4.0%,0.4%,"$395,697",6.9%,84,-16.0%,-7.3%,"138,060","$77,775",2.5%,28.0%,8.2%,"$323,324",3.3%,43.0%,2.7%,4.1,"$2,054","$82,193",31.7%,0.5%,22.5%,10.1%,-,30.7%,63.8%,59%,34.8,14.8%,"55,764",0.6%,7.3%,56,63,53.0
"Hartford, CT",4.5%,6.8%,12.9,23.8%,2.3%,"-3,202",2.8%,"1,831",39.6%,58.6%,"$1,870","$2,337",0.24%,805,1.8%,-59.3%,9.6%,51,-2.3%,0.2%,"$408,375",2.1%,666,5.7%,-10.4%,"1,211,906","$94,019",0.4%,22.0%,14.9%,"$361,976",7.0%,59.0%,13.4%,3.8,"$2,674","$106,968",34.1%,1.8%,42.9%,20.7%,-19.5%,42.4%,66.6%,64%,41.2,8.7%,"523,912",-0.2%,7.8%,64,46,52.0
"Hattiesburg, MS",7.4%,9.7%,10.2,27.3%,0.7%,257,4.8%,149,67.0%,31.6%,"$1,284","$1,605",0.45%,403,18.1%,13.8%,16.0%,80,20.4%,1.0%,"$306,250",7.6%,138,11.2%,-6.3%,"174,110","$56,442",4.0%,16.7%,7.9%,"$197,038",3.9%,29.9%,7.8%,3.4,"$1,264","$50,567",26.8%,0.6%,-1.5%,7.2%,-,33.6%,65.2%,52%,36.8,15.4%,"75,564",0.1%,14.7%,45,56,56.0
"Hays, KS",3.2%,8.0%,18.7,15.7%,2.3%,-73,0.2%,-,72.1%,25.9%,$800,"$1,000",0.93%,74,38.3%,-16.8%,8.1%,91,-4.9%,0.9%,"$229,000",-1.3%,22,175.0%,-0.6%,"28,870","$61,086",-0.0%,15.5%,6.0%,"$224,626",5.3%,33.7%,10.1%,3.6,"$1,545","$61,806",30.3%,1.2%,93.1%,6.6%,-,39.5%,62.4%,58%,32.5,16.5%,"13,247",-0.2%,-,54,-,48.0
"Heber, UT",3.3%,36.4%,21.9,28.6%,32.7%,-147,2.9%,-,50.3%,47.6%,"$3,291","$4,113",0.15%,"1,019",-5.3%,5.2%,10.6%,96,3.4%,2.6%,"$1,580,000",5.3%,238,-11.8%,-4.0%,"78,517","$137,685",10.5%,38.7%,21.5%,"$1,084,944",3.1%,70.5%,15.2%,7.8,"$6,704","$268,164",58.4%,0.3%,103.7%,-3.1%,-,57.3%,81.3%,67%,40.3,4.8%,"41,652",-0.1%,-1.3%,45,71,69.0
"Helena, MT",3.7%,10.0%,18.5,25.0%,6.1%,"1,487",7.4%,-,53.4%,42.6%,"$1,634","$2,043",0.45%,267,31.5%,5.5%,11.8%,98,18.0%,0.9%,"$599,900",1.8%,58,-40.8%,-10.1%,"87,512","$78,403",8.7%,15.1%,12.5%,"$455,267",4.7%,65.9%,36.5%,5.8,"$2,923","$116,920",44.7%,0.6%,78.7%,5.5%,-,37.7%,72.1%,60%,42.2,9.1%,"39,639",1.6%,7.8%,49,48,52.0
"Henderson, NC",6.5%,17.2%,11.2,26.8%,12.1%,256,-3.4%,-,42.8%,56.2%,"$1,071","$1,339",0.05%,66,22.4%,24.2%,21.7%,80,25.0%,0.6%,"$275,725",-2.3%,16,-42.8%,-14.3%,"42,361","$47,881",-4.7%,18.1%,9.2%,"$180,441",2.6%,54.1%,28.5%,3.7,"$1,178","$47,139",29.5%,0.8%,9.9%,7.9%,-17.0%,18.4%,57.3%,47%,39.9,17.4%,"19,423",0.6%,-,43,-,27.0
"Hermiston, OR",4.7%,6.6%,14.6,25.1%,4.2%,-161,6.7%,-,67.8%,28.8%,"$1,343","$1,679",0.44%,184,-10.7%,20.4%,17.2%,91,-1.3%,0.7%,"$344,975",-0.3%,50,-3.8%,-8.9%,"92,302","$64,021",4.0%,5.1%,5.4%,"$296,099",3.0%,48.6%,30.8%,4.6,"$1,946","$77,860",36.4%,0.8%,44.8%,1.2%,-,17.3%,64.9%,56%,36.7,15.9%,"37,650",-0.1%,5.8%,43,46,49.0
"Hickory, NC",6.3%,8.9%,12.0,27.9%,2.8%,"3,561",2.4%,"2,567",71.5%,27.4%,"$1,379","$1,724",0.24%,803,26.7%,21.6%,26.3%,76,24.5%,0.6%,"$347,450",-0.7%,318,22.3%,-8.9%,"369,997","$59,327",0.4%,17.1%,8.3%,"$249,813",3.8%,62.6%,35.3%,4.2,"$1,576","$63,076",31.8%,0.5%,14.2%,11.7%,-8.6%,21.1%,73.0%,54%,43.7,12.5%,"169,028",0.9%,3.4%,46,45,38.0
"Hilton Head Island, SC",4.6%,16.6%,16.1,31.1%,17.0%,"4,353",5.8%,"2,920",56.2%,42.5%,"$2,134","$2,668",-0.05%,"1,666",27.8%,0.6%,21.4%,86,7.8%,1.8%,"$569,225",-2.2%,566,5.9%,-3.2%,"229,637","$82,296",6.0%,15.5%,10.5%,"$516,143",2.2%,66.5%,17.7%,6.2,"$3,233","$129,352",47.1%,0.4%,51.4%,11.0%,-34.3%,47.0%,75.2%,59%,47.6,8.9%,"119,441",1.8%,4.3%,48,58,46.0
"Hinesville, GA",7.9%,12.3%,9.4,32.5%,3.3%,"1,493",0.3%,806,46.5%,52.9%,"$1,682","$2,103",0.43%,315,-11.8%,-3.8%,14.6%,72,2.1%,1.6%,"$302,344",7.9%,108,-31.6%,-1.8%,"86,722","$61,946",8.0%,16.7%,5.9%,"$237,513",4.2%,66.2%,16.2%,3.8,"$1,564","$62,565",30.2%,0.8%,-7.0%,18.1%,-24.4%,18.2%,58.5%,67%,28.8,15.4%,"34,805",1.6%,8.0%,49,70,51.0
"Hobbs, NM",8.3%,13.3%,9.2,25.7%,0.5%,-367,7.0%,-,80.1%,18.5%,"$1,218","$1,523",0.39%,82,12.4%,-30.8%,8.1%,61,-32.5%,0.4%,"$292,450",49.9%,60,36.3%,7.2%,"72,101","$56,850",3.5%,-16.9%,3.6%,"$169,059",-1.2%,-22.6%,-13.1%,2.9,"$1,074","$42,999",22.6%,0.5%,-11.7%,-14.6%,-,15.0%,68.8%,43%,33.5,16.5%,"28,647",-0.5%,-,56,-,56.0
"Homosassa Springs, FL",7.1%,12.3%,10.7,37.5%,7.8%,"6,296",8.0%,"1,959",72.6%,26.7%,"$1,717","$2,147",-0.24%,"1,481",33.3%,50.0%,29.7%,75,6.4%,2.1%,"$325,000",-1.4%,470,21.1%,-0.2%,"166,696","$54,852",12.6%,8.0%,12.0%,"$276,917",-0.4%,66.4%,31.2%,5.0,"$1,746","$69,856",38.2%,0.5%,1.6%,1.4%,-44.0%,21.8%,82.4%,46%,56.7,16.5%,"86,456",3.7%,6.3%,35,70,43.0
"Hot Springs, AR",6.8%,14.6%,11.3,32.1%,12.0%,369,3.8%,111,66.9%,30.7%,"$1,427","$1,783",-0.05%,716,40.0%,20.2%,15.1%,92,17.9%,2.0%,"$329,475",-5.8%,172,48.2%,-3.9%,"99,784","$53,320",0.6%,17.7%,6.2%,"$242,811",3.1%,61.9%,29.0%,4.5,"$1,516","$60,651",34.1%,0.4%,6.2%,7.8%,-9.9%,29.9%,67.0%,42%,45.9,19.2%,"53,004",0.3%,7.9%,44,44,34.0
"Houma, LA",9.5%,9.2%,8.3,27.2%,1.9%,"-1,892",1.7%,600,77.9%,20.8%,"$1,390","$1,737",0.29%,753,17.7%,22.5%,14.9%,109,4.3%,1.1%,"$229,225",-3.1%,126,16.6%,-2.6%,"198,672","$61,321",-5.0%,22.9%,4.5%,"$173,718",-2.9%,-7.4%,-16.7%,2.8,"$1,080","$43,232",21.1%,0.4%,-22.2%,-7.4%,-,20.6%,76.5%,44%,38.7,16.3%,"88,847",-0.9%,5.2%,40,43,43.0
"Houston, TX",5.2%,8.1%,12.1,24.8%,1.5%,"91,458",12.2%,"65,351",52.4%,45.8%,"$1,676","$2,095",-0.05%,"25,879",25.9%,24.0%,20.4%,62,5.1%,1.5%,"$359,000",0.2%,"8,098",5.8%,-3.3%,"7,471,556","$81,052",6.8%,17.1%,12.6%,"$306,316",0.4%,37.9%,20.6%,3.7,"$2,202","$88,104",32.6%,1.5%,31.4%,0.2%,-7.8%,35.9%,61.4%,58%,35.7,12.9%,"2,959,823",1.2%,2.6%,43,50,56.0
"Hudson, NY",4.2%,21.7%,14.2,28.3%,17.1%,-379,-0.1%,-,42.6%,57.3%,"$2,015","$2,519",0.09%,255,9.2%,-33.1%,10.8%,97,-5.3%,1.0%,"$636,750",7.0%,34,-26.0%,-10.3%,"61,245","$85,291",0.5%,27.7%,15.7%,"$431,797",3.6%,69.7%,25.1%,5.0,"$3,087","$123,482",43.4%,1.5%,53.1%,7.8%,-2.4%,38.0%,75.3%,53%,49.5,10.7%,"33,331",-0.6%,11.8%,57,38,43.0
"Huntington, IN",8.3%,6.4%,9.1,26.2%,0.4%,62,1.5%,-,73.3%,24.9%,"$1,400","$1,750",0.57%,53,-0.9%,-11.1%,29.7%,68,10.1%,0.4%,"$244,950",1.8%,24,-25.0%,-29.5%,"36,757","$63,988",1.0%,19.3%,6.3%,"$191,262",6.8%,54.5%,31.1%,2.9,"$1,237","$49,487",23.2%,0.7%,-11.6%,16.0%,-,23.1%,76.1%,66%,40.8,9.2%,"16,275",0.1%,-,51,-,54.0
"Huntington, WV",6.7%,12.8%,11.1,18.3%,1.0%,335,-1.0%,268,70.4%,27.9%,$901,"$1,126",0.96%,584,6.1%,-40.1%,14.5%,76,9.3%,0.5%,"$199,900",11.0%,168,-12.5%,-6.4%,"355,412","$58,971",-1.9%,22.0%,6.5%,"$151,153",6.0%,31.1%,-3.9%,2.5,$967,"$38,686",19.6%,0.6%,7.2%,6.0%,-1.6%,23.8%,72.4%,48%,42.7,15.7%,"165,914",0.0%,5.8%,59,47,52.0
"Huntsville, AL",5.7%,6.5%,13.6,20.4%,0.3%,"11,756",13.2%,"5,320",57.1%,40.8%,"$1,474","$1,842",0.09%,"2,462",43.4%,63.3%,21.9%,87,13.7%,1.6%,"$364,900",-0.6%,878,41.6%,-5.4%,"527,254","$86,627",13.9%,28.9%,14.5%,"$300,972",-0.1%,52.0%,28.0%,3.4,"$1,859","$74,366",25.7%,0.3%,26.1%,-0.1%,29.8%,44.6%,70.5%,63%,38.4,9.1%,"227,445",2.2%,1.2%,36,71,63.0
